gender;read;write;math;hon
male;57;52;41;N
male;44;33;54;N
male;63;44;47;N
male;47;52;57;N
male;50;59;42;N
male;63;57;54;N
male;57;55;52;N
male;60;46;51;N
male;57;65;51;Y
male;73;60;71;N
male;54;63;57;Y
male;45;57;50;N
male;47;52;51;N
male;57;57;60;N
male;68;65;62;Y
male;55;39;57;N
male;63;49;35;N
male;50;40;45;N
male;60;52;57;N
male;34;37;46;N
male;47;57;57;N
male;44;38;49;N
male;52;44;49;N
male;42;31;57;N
male;76;52;64;N
male;65;67;63;Y
male;42;41;57;N
male;52;59;50;N
male;60;65;58;Y
male;47;31;44;N
male;39;31;40;N
male;55;59;62;N
male;52;54;57;N
male;65;65;48;Y
male;50;40;39;N
male;65;59;70;N
male;47;59;63;N
male;57;54;59;N
male;53;61;61;Y
male;39;33;38;N
male;44;44;61;N
male;37;37;42;N
male;42;39;39;N
male;48;49;52;N
male;44;44;39;N
male;34;33;41;N
male;50;42;50;N
male;44;41;40;N
male;60;54;60;N
male;47;39;47;N
male;63;43;59;N
male;50;33;49;N
male;60;54;58;N
male;73;67;71;Y
male;68;59;58;N
male;68;59;56;N
male;31;36;46;N
male;47;41;54;N
male;36;49;54;N
male;55;41;40;N
male;55;62;64;Y
male;52;41;51;N
male;50;31;40;N
male;55;49;61;N
male;52;62;66;Y
female;68;62;65;Y
female;39;44;52;N
female;44;44;46;N
female;50;62;61;Y
female;71;65;72;Y
female;63;65;71;Y
female;63;63;69;Y
female;68;60;64;N
female;47;59;56;N
female;47;46;49;N
female;63;52;54;N
female;52;59;53;N
female;35;35;40;N
female;47;54;46;N
female;44;50;41;N
female;65;59;57;N
female;68;65;58;Y
female;73;61;57;Y
female;36;44;37;N
female;43;54;55;N
female;73;67;62;Y
female;52;57;64;N
female;41;47;40;N
female;60;54;50;N
female;50;52;46;N
female;47;62;45;Y
female;55;57;56;N
female;50;41;45;N
female;50;49;56;N
female;34;35;41;N
female;57;59;54;N
female;57;65;72;Y
female;68;62;56;Y
female;47;59;54;N
female;46;52;55;N
female;39;41;33;N
female;52;49;49;N
female;42;54;50;N
female;47;42;52;N
female;47;57;48;N
female;52;59;58;N
female;47;52;43;N
female;44;52;43;N
female;47;41;46;N
female;45;55;44;N
female;47;37;43;N
female;65;54;61;N
female;43;57;40;N
female;47;54;49;N
female;57;62;56;Y
female;68;59;61;N
female;52;55;50;N
female;42;57;51;N
female;42;39;42;N
female;66;67;67;Y
female;47;62;53;Y
female;57;50;50;N
female;47;61;51;Y
female;57;62;72;Y
female;52;59;48;N
female;44;44;40;N
female;50;59;53;N
female;57;62;63;Y
female;57;60;51;N
female;42;57;45;N
female;47;46;39;N
female;42;36;42;N
female;60;59;62;N
female;44;49;44;N
female;65;67;63;Y
female;39;54;54;N
female;50;52;45;N
female;52;65;60;Y
female;60;62;49;Y
female;44;49;48;N
female;55;65;55;Y
female;65;65;64;Y
female;63;62;56;Y
female;50;46;53;N
female;42;54;41;N
female;41;59;42;N
female;55;59;52;N
female;57;41;57;N
female;55;62;58;Y
female;63;65;65;Y
